Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2017-05-01,2147.7851962337286,18.636690497398376,30.496858596801758,-97.6287612915039,30.49810218811035,-97.6270523071289,2.6324003305916825,6.846152305603027,0.5600892901420593,726,,,,,73316026,405811,
2017-05-02,2217.412631979126,492.4068403095007,30.479053497314453,-97.67005157470703,30.498184204101562,-97.62745666503906,1.0714667896477372,22.56226921081543,0.5135172605514526,1911,,,,,72336254,1115042,
2017-05-03,2172.6320860232636,176.4013955593109,30.42905616760254,-97.7956771850586,30.498682022094727,-97.61015319824219,5.967940390324372,37.936832427978516,0.5189412236213684,1225,,,,,68752160,658904,
2017-05-04,2232.994423607764,814.9648770093918,30.463205337524414,-97.6933364868164,30.558002471923828,-97.58769989013672,2.9277762740589,32.4600944519043,0.5096076726913452,2856,,,,,50017690,1272147,
2017-05-05,2229.466839060002,378.85082733631134,30.457536697387695,-97.69408416748047,30.536888122558594,-97.59317016601562,2.9182270351558217,27.873634338378906,0.5,1384,,,,,75881703,1237827,
2017-05-06,2363.1407802570075,2128.08387863636,30.16791343688965,-122.40145111083984,37.708152770996094,-96.99609375,30.975752958784085,211.82022094726562,0.5003998279571533,5384,,,,,55670194,2549839,
2017-05-07,2254.6356657381607,1586.9895290397108,37.3073844909668,-121.94416809082031,37.70778274536133,-121.79686737060547,4.122338979872298,38.20088577270508,0.5024937987327576,3422,,,,,62319857,1491782,
2017-05-08,2416.35702099816,2608.1027904748917,37.30909729003906,-121.89276885986328,37.33046340942383,-121.87435150146484,2.628775337260853,20.040489196777344,0.5115662217140198,5917,,,,,65387236,3126388,
2017-05-09,2294.098255181146,1396.2581649514614,37.31658172607422,-122.34551239013672,37.58584213256836,-121.8741455078125,4.371400202925759,37.15019607543945,0.5400000214576721,4327,,,,,62548622,1856053,
2017-05-10,2283.020912280626,1280.1035022735596,37.22719955444336,-122.2876968383789,37.63739776611328,-121.90164947509766,6.297174062834445,37.56006622314453,0.5,4020,,,,,61330766,1783334,
2017-05-11,2299.775630513227,1560.3974970579147,37.227806091308594,-122.42425537109375,37.80142593383789,-121.90386199951172,3.300539613131882,36.19013595581055,0.5099999904632568,4575,,,,,68330406,1933744,
